Numero,Data_Prevista,Status,Post1_Titulo,Post1_Arquivo,Post2_Titulo,Post2_Arquivo
01,14/08/2026,Publicado,Angústias,51-2013-angústias.md,MEDITE!,48-2013-medite.md
02,21/08/2026,Publicado,Luz Divina,47-2013-luz-divina.md,Sistema de Telefonia,46-2013-sistema-de-telefônia.md
03,28/08/2026,Pendente,Sofremos é porque Queremos?,45-2013-sofremos-é-porque-queremos.md,Sofremos é porque Queremos? (parte 2),44-2013-sofremos-é-por-que-queremos-parte-2.md
04,04/09/2026,Pendente,Mensagem de Natal (2013),43-2013-mensagem-de-natal.md,Mensagem de Natal - Edição Especial,42-2013-mensagem-de-natal.md
05,11/09/2026,Pendente,Feliz 2014,41-2013-feliz-2014.md,Caça aos Gatos-Ratos,40-2014-caça-aos-gatos-ratos.md
06,18/09/2026,Pendente,A Alegria,39-2014-a-alegria.md,Quer Viver Mais Feliz? Use Tempero,38-2014-quer-viver-ainda-mais-feliz-use-tempero.md
07,25/09/2026,Pendente,Que País é Este?,37-2014-que-país-é-este.md,A Vida,36-2014-a-vida.md
08,02/10/2026,Pendente,A Divergência,35-2014-a-divergência.md,Tudo é Realmente Natural?,34-2014-tudo-é-realmente-natural.md
09,09/10/2026,Pendente,Reação a uma Agressão,33-2014-reação-a-uma-agressão.md,Mutirão Nacional da Saúde,32-2014-mutirão-nacional-da-saúde.md
10,16/10/2026,Pendente,Copa do Mundo no Brasil,31-2014-copa-do-mundo-no-brasil.md,Mãezinha,30-2014-mãezinha.md
11,23/10/2026,Pendente,Casinha,29-2014-casinha.md,Deus Criou o Homem; O Homem Criou a Bomba,28-2014-deus-criou-o-homem-o-homem-criou-a-bomba.md
12,30/10/2026,Pendente,Os Carniceiros,27-2014-os-carniceiros.md,A Sogra,26-2014-a-sogra.md
13,06/11/2026,Pendente,A Grandeza de Deus,25-2014-a-grandeza-de-deus.md,Amar a Sogra,24-2014-amar-a-sogra.md
14,13/11/2026,Pendente,Lavadeiras,23-2014-lavadeiras.md,Detalhes da Vida,22-2014-detalhes-da-vida.md
15,20/11/2026,Pendente,O Sapo,21-2014-o-sapo.md,Reflexões Cívicas,20-2014-sem-título.md
16,27/11/2026,Pendente,Carta ao Povo,19-2014-carta-ao-povo.md,Correspondência aos Vereadores de Goiânia,18-2014-correspondência-encaminhada-aos-vereador.md
17,04/12/2026,Pendente,Força Coletiva,17-2014-forca-coletiva.md,Feliz Natal e Ano Novo (2014),16-2014-feliz-natal-e-ano-novo.md
18,11/12/2026,Pendente,A Família,15-2015-a-família.md,Sabedorias,14-2015-sabedorias.md
19,18/12/2026,Pendente,Pensamentos da Primavera,13-2015-sem-título.md,Reflexões do Meio do Ano,12-2015-sem-título.md
20,25/12/2026,Pendente,Valores e Ética,11-2015-sem-título.md,A Força do Trabalho,10-2015-sem-título.md
21,01/01/2027,Pendente,Cidadania e Compromisso,09-2016-sem-título.md,Estória da Vovó,08-2016-estória-da-vovo.md
22,08/01/2027,Pendente,O Início de um Novo Ciclo,07-2017-sem-título.md,Memórias e Esperança,06-2017-sem-título.md
23,15/01/2027,Pendente,Reflexões de Outono,05-2018-sem-título.md,União e Trabalho,04-2018-sem-título.md
24,22/01/2027,Pendente,O Brasil que Queremos,02-2018-joão-de-brito-freires-o-brasil-que-quere.md,Mensagem à Sociedade,03-2018-sem-título.md
25,29/01/2027,Pendente,Reflexões Finais do Acervo,01-2019-sem-título.md,*(Conclusão do Acervo)*,
